               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038102,            0.012322,                   0,             0.76164,                0.64,             0.65523,             0.24759,            0.057309,           0.0074848,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.038098,            0.012728,                   0,             0.89994,             0.71951,             0.72802,             0.38084,            0.047647,           0.0072639,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.040943,            0.013748,                   0,             0.86361,                0.76,             0.82908,             0.44369,            0.042667,           0.0071165,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037236,            0.012486,                   0,             0.89997,             0.71979,              0.7809,             0.43562,            0.042212,           0.0071892,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035598,            0.012088,                   0,             0.90393,                0.76,             0.80333,             0.37546,            0.043946,           0.0073303,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.036055,            0.013636,                   0,             0.85704,                0.72,             0.79002,             0.39851,            0.043986,           0.0069861,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.033997,            0.012399,                   0,             0.95237,             0.79977,             0.80519,               0.412,            0.043908,           0.0071649,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034897,            0.013293,                   0,             0.95451,             0.83942,             0.84569,             0.41075,            0.042429,           0.0073111,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035578,            0.012528,                   0,             0.85689,                0.72,             0.72677,             0.26649,            0.046534,           0.0079602,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.035091,            0.012542,                   0,             0.94952,                0.76,             0.80954,             0.41563,            0.041777,           0.0077151,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.034034,             0.01218,                   0,             0.90459,                0.76,             0.78646,             0.38176,             0.04544,            0.007634,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033265,            0.011648,                   0,              0.8093,                0.68,             0.70687,             0.34419,            0.049494,             0.00753,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.035125,            0.011862,                   0,             0.95235,                 0.8,             0.81176,              0.4065,            0.044641,           0.0074523,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03307,            0.011194,                   0,             0.87499,             0.83991,             0.83027,             0.34861,            0.049494,           0.0072663,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.033573,            0.011974,                   0,             0.90873,                 0.8,             0.83647,             0.41664,            0.045742,           0.0072619,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.030944,            0.010883,                   0,             0.86363,             0.75998,             0.77504,             0.35825,            0.050344,           0.0076882,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032377,            0.010076,                   0,             0.94395,                0.68,              0.7194,             0.38034,            0.048057,           0.0079478,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034441,            0.011939,                   0,             0.90443,                0.76,             0.76702,             0.36419,            0.048633,           0.0079039,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.031059,            0.011462,                   0,             0.86955,             0.79989,             0.80036,             0.33014,            0.051943,           0.0076165,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.035596,            0.010941,                   0,             0.94998,             0.75965,             0.75412,             0.40959,            0.048878,           0.0076267,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032566,            0.011676,                   0,             0.89996,                0.72,             0.66504,              0.2667,            0.052343,           0.0075463,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03101,            0.012046,                   0,             0.94997,             0.75954,             0.74466,             0.36284,            0.047557,           0.0076784,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02947,            0.011005,                   0,              0.9498,                0.76,             0.75386,             0.34076,            0.050094,           0.0077894,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030943,            0.011206,                   0,             0.94999,                0.76,             0.76245,             0.35063,              0.0486,           0.0077972,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.031756,            0.010481,                   0,             0.86354,                0.76,             0.74698,             0.40539,            0.046023,           0.0080569,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.035484,             0.01101,                   0,             0.82606,             0.75985,             0.77183,             0.39985,            0.048095,           0.0078589,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031999,            0.011353,                   0,             0.90463,                0.76,             0.80729,             0.42553,            0.045734,           0.0081795,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.031158,            0.010954,                   0,             0.99988,                0.76,             0.80376,             0.32526,            0.051854,           0.0080723,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.028406,            0.011096,                   0,             0.99971,                0.76,             0.80064,             0.38573,            0.049375,           0.0077984,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028799,            0.011003,                   0,             0.86933,                 0.8,             0.79912,             0.40349,            0.048611,           0.0078647,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.027596,            0.010813,                   0,             0.87498,             0.83987,             0.82983,             0.43837,            0.044887,           0.0076534,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.028345,            0.010489,                   0,             0.91277,                0.84,             0.85582,              0.4406,            0.044199,           0.0074033,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027896,             0.01095,                   0,             0.90896,                 0.8,             0.83891,             0.39199,            0.045505,            0.007761,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.027743,            0.011058,                   0,             0.94903,                0.76,             0.79908,             0.37935,            0.046364,           0.0080788,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.030278,            0.010325,                   0,             0.95238,                 0.8,             0.81856,             0.42928,            0.046255,           0.0078049,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.028682,             0.01113,                   0,             0.90896,                 0.8,             0.81543,             0.35234,            0.050555,           0.0080514,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.029574,            0.009977,                   0,             0.90877,                 0.8,             0.81831,             0.39252,            0.047258,            0.007801,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.028377,            0.010768,                   0,             0.90907,                 0.8,             0.79398,             0.34295,            0.048752,           0.0083713,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.026917,            0.010484,                   0,             0.86952,                 0.8,             0.79025,             0.41079,             0.04395,           0.0083254,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.028693,           0.0098859,                   0,                   1,             0.79991,             0.81315,             0.36697,            0.048349,           0.0077813,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.031984,            0.011121,                   0,             0.95238,             0.79994,             0.79987,             0.38576,            0.046329,           0.0080435,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.026516,            0.010435,                   0,             0.95233,                 0.8,             0.80995,             0.38815,            0.047907,           0.0079244,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.026328,            0.010293,                   0,             0.95238,                 0.8,             0.80695,             0.36179,            0.048757,           0.0080804,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.027048,            0.010382,                   0,             0.90874,                 0.8,             0.79287,             0.40196,            0.046187,           0.0080342,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.02538,           0.0094653,                   0,             0.90899,                 0.8,             0.81044,             0.41251,            0.046499,           0.0080905,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.026762,            0.010564,                   0,             0.90908,                 0.8,             0.80667,             0.41758,            0.047369,           0.0081875,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.026267,            0.010505,                   0,             0.95165,                 0.8,             0.79905,             0.39125,            0.047426,           0.0082262,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026448,            0.010424,                   0,              0.9925,                0.76,             0.80466,             0.39037,            0.047586,           0.0078823,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.024883,           0.0096225,                   0,             0.90906,                 0.8,             0.80029,             0.41867,            0.045664,           0.0077934,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.025969,           0.0096342,                   0,             0.90909,             0.79995,             0.79774,             0.41978,            0.047005,           0.0081813,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024195,           0.0095064,                   0,             0.86898,                 0.8,             0.79475,             0.38012,            0.048784,           0.0084557,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.026383,           0.0094041,                   0,              0.9047,                0.76,             0.79048,             0.40787,            0.048615,           0.0085592,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.024428,           0.0098259,                   0,             0.90896,                 0.8,             0.79662,              0.4233,            0.046759,           0.0082822,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.024247,           0.0098559,                   0,             0.90909,                 0.8,             0.80038,             0.38818,            0.047333,           0.0081356,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.024794,           0.0098096,                   0,             0.90906,                 0.8,             0.80284,             0.41881,            0.045416,           0.0081759,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.022686,           0.0095389,                   0,             0.95237,              0.7998,             0.81095,             0.40353,            0.045971,           0.0082519,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024072,             0.01052,                   0,             0.95235,             0.79949,              0.8056,             0.39509,            0.045281,           0.0084084,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.024774,           0.0090203,                   0,             0.90905,                 0.8,             0.79804,              0.4218,            0.044394,           0.0084201,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.024137,            0.009591,                   0,             0.90901,                 0.8,              0.8031,             0.39951,            0.046385,            0.008545,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02443,           0.0093281,                   0,             0.90909,             0.79998,              0.7983,             0.39559,            0.046488,           0.0085716,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.024132,           0.0095491,                   0,             0.90909,                 0.8,             0.79792,             0.36455,            0.047546,           0.0086668,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022762,           0.0086565,                   0,             0.90901,                 0.8,             0.80555,             0.38111,            0.046681,           0.0085546,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.024935,            0.009923,                   0,             0.90901,                 0.8,             0.80172,             0.39906,            0.046161,           0.0085584,                   0,            0.000298,            0.000298,            0.000298
